episode: 90, score: 135.66, reward gate: 8, average score: 73.82, steps: 6164
episode: 91, score: 33.99, reward gate: 2, average score: 73.39, steps: 6239
episode: 92, score: 5.62, reward gate: 2, average score: 72.66, steps: 2587
episode: 93, score: -10.54, reward gate: 1, average score: 71.78, steps: 93
episode: 94, score: -8.59, reward gate: 1, average score: 70.93, steps: 1823
episode: 95, score: 35.52, reward gate: 2, average score: 70.56, steps: 6447
episode: 96, score: 1696.53, reward gate: 25, average score: 87.32, steps: 6390
episode: 97, score: 87.91, reward gate: 5, average score: 87.33, steps: 6329
episode: 98, score: 157.6, reward gate: 9, average score: 88.04, steps: 5938
episode: 99, score: 28.1, reward gate: 3, average score: 87.44, steps: 6023
episode: 100, score: 0.12, reward gate: 0, average score: 86.57, steps: 6434
episode: 101, score: 18.86, reward gate: 1, average score: 86.86, steps: 6392
episode: 102, score: 15.29, reward gate: 2, average score: 86.78, steps: 5865
episode: 103, score: -9.72, reward gate: 1, average score: 86.89, steps: 2312
episode: 104, score: -10.07, reward gate: 1, average score: 87.0, steps: 64
episode: 105, score: -9.71, reward gate: 1, average score: 86.48, steps: 88
episode: 106, score: -10.57, reward gate: 1, average score: 86.4, steps: 132
episode: 107, score: -11.14, reward gate: 1, average score: 86.36, steps: 53
episode: 108, score: -11.13, reward gate: 1, average score: 86.35, steps: 53
episode: 109, score: -11.13, reward gate: 1, average score: 85.97, steps: 53
episode: 110, score: -11.12, reward gate: 1, average score: 85.96, steps: 53
episode: 111, score: -11.1, reward gate: 1, average score: 85.95, steps: 55
episode: 112, score: -11.12, reward gate: 1, average score: 85.95, steps: 53
episode: 113, score: -11.34, reward gate: 1, average score: 85.94, steps: 54
episode: 114, score: -11.12, reward gate: 1, average score: 86.05, steps: 60
episode: 115, score: -11.23, reward gate: 1, average score: 86.15, steps: 55
episode: 116, score: -10.89, reward gate: 1, average score: 85.95, steps: 61
episode: 117, score: -10.67, reward gate: 1, average score: 85.71, steps: 73
episode: 118, score: -10.93, reward gate: 1, average score: 85.72, steps: 124
episode: 119, score: -10.51, reward gate: 1, average score: 85.69, steps: 187
episode: 120, score: -9.32, reward gate: 1, average score: 85.8, steps: 968
episode: 121, score: -7.78, reward gate: 1, average score: 85.81, steps: 73
episode: 122, score: -8.68, reward gate: 1, average score: 85.83, steps: 106
episode: 123, score: -8.52, reward gate: 1, average score: 85.85, steps: 108
episode: 124, score: -8.68, reward gate: 1, average score: 85.87, steps: 107
episode: 125, score: -8.54, reward gate: 1, average score: 85.9, steps: 285
episode: 126, score: -9.84, reward gate: 1, average score: 85.91, steps: 163
episode: 127, score: -9.76, reward gate: 1, average score: 85.92, steps: 404
episode: 128, score: -7.67, reward gate: 1, average score: 85.95, steps: 170
episode: 129, score: -7.4, reward gate: 1, average score: 85.98, steps: 265
episode: 130, score: -7.39, reward gate: 1, average score: 85.99, steps: 359
episode: 131, score: 3.74, reward gate: 2, average score: 86.12, steps: 5863
episode: 132, score: -10.92, reward gate: 1, average score: 86.11, steps: 66
episode: 133, score: -10.76, reward gate: 1, average score: 86.1, steps: 75
episode: 134, score: -9.99, reward gate: 1, average score: 86.1, steps: 1013
episode: 135, score: -10.87, reward gate: 1, average score: 86.1, steps: 65
episode: 136, score: -10.97, reward gate: 1, average score: 86.09, steps: 64
episode: 137, score: -10.95, reward gate: 1, average score: 86.08, steps: 64
episode: 138, score: -11.0, reward gate: 1, average score: 86.07, steps: 67
episode: 139, score: -9.66, reward gate: 1, average score: 86.06, steps: 479
episode: 140, score: -10.27, reward gate: 1, average score: 86.07, steps: 67
episode: 141, score: -10.95, reward gate: 1, average score: 86.06, steps: 64
episode: 142, score: -10.83, reward gate: 1, average score: 86.05, steps: 65
episode: 143, score: -10.53, reward gate: 1, average score: 86.17, steps: 63
episode: 144, score: -10.31, reward gate: 1, average score: 86.17, steps: 64
episode: 145, score: -10.01, reward gate: 1, average score: 86.17, steps: 65
episode: 146, score: -10.84, reward gate: 1, average score: 86.17, steps: 66
episode: 147, score: -10.73, reward gate: 1, average score: 86.16, steps: 77
episode: 148, score: -10.97, reward gate: 1, average score: 86.16, steps: 64
episode: 149, score: -10.96, reward gate: 1, average score: 86.16, steps: 65
episode: 150, score: -10.95, reward gate: 1, average score: 86.16, steps: 69
episode: 151, score: -10.94, reward gate: 1, average score: 85.96, steps: 68
episode: 152, score: -10.87, reward gate: 1, average score: 85.93, steps: 67
episode: 153, score: -10.89, reward gate: 1, average score: 85.93, steps: 55
episode: 154, score: -10.97, reward gate: 1, average score: 85.75, steps: 60
episode: 155, score: -11.02, reward gate: 1, average score: 85.72, steps: 60
episode: 156, score: -10.92, reward gate: 1, average score: 85.66, steps: 64
episode: 157, score: -11.1, reward gate: 1, average score: 85.64, steps: 59
episode: 158, score: -11.08, reward gate: 1, average score: 85.62, steps: 62
episode: 159, score: -11.08, reward gate: 1, average score: 85.72, steps: 59
episode: 160, score: -11.08, reward gate: 1, average score: 85.72, steps: 62
episode: 161, score: -11.09, reward gate: 1, average score: 85.71, steps: 59
episode: 162, score: -10.51, reward gate: 1, average score: 85.82, steps: 65
episode: 163, score: -10.97, reward gate: 1, average score: 85.92, steps: 62
episode: 164, score: -10.71, reward gate: 1, average score: 83.64, steps: 56
episode: 165, score: -11.17, reward gate: 1, average score: 83.09, steps: 62
episode: 166, score: -11.2, reward gate: 1, average score: 82.55, steps: 61
episode: 167, score: -11.17, reward gate: 1, average score: 81.99, steps: 62
episode: 168, score: -11.21, reward gate: 1, average score: 80.76, steps: 58
episode: 169, score: -11.14, reward gate: 1, average score: 80.19, steps: 63
episode: 170, score: -11.19, reward gate: 1, average score: 78.94, steps: 58
episode: 171, score: -11.22, reward gate: 1, average score: 78.42, steps: 73
episode: 172, score: -11.2, reward gate: 1, average score: 77.85, steps: 61
episode: 173, score: -11.19, reward gate: 1, average score: 77.29, steps: 61
episode: 174, score: -11.17, reward gate: 1, average score: 75.99, steps: 62
episode: 175, score: -10.97, reward gate: 1, average score: 75.3, steps: 59
episode: 176, score: -11.14, reward gate: 1, average score: 74.0, steps: 62
episode: 177, score: -11.18, reward gate: 1, average score: 72.7, steps: 58
episode: 178, score: -10.73, reward gate: 1, average score: 71.39, steps: 62
episode: 179, score: -11.19, reward gate: 1, average score: 70.08, steps: 58
episode: 180, score: -11.19, reward gate: 1, average score: 68.77, steps: 58
episode: 181, score: -11.17, reward gate: 1, average score: 67.48, steps: 63
episode: 182, score: -11.2, reward gate: 1, average score: 66.05, steps: 58
episode: 183, score: -11.21, reward gate: 1, average score: 64.76, steps: 58
episode: 184, score: -11.2, reward gate: 1, average score: 63.45, steps: 58
episode: 185, score: -11.2, reward gate: 1, average score: 62.08, steps: 58
episode: 186, score: -11.06, reward gate: 1, average score: 61.36, steps: 60
episode: 187, score: -11.2, reward gate: 1, average score: 58.26, steps: 60
episode: 188, score: -11.31, reward gate: 1, average score: 56.62, steps: 60
episode: 189, score: -11.19, reward gate: 1, average score: 53.57, steps: 84
episode: 190, score: -11.07, reward gate: 1, average score: 12.64, steps: 60
episode: 191, score: -11.21, reward gate: 1, average score: 11.19, steps: 58
episode: 192, score: -11.13, reward gate: 1, average score: 10.74, steps: 59
episode: 193, score: -11.05, reward gate: 1, average score: 10.58, steps: 75
episode: 194, score: -11.11, reward gate: 1, average score: 10.57, steps: 62
episode: 195, score: -11.06, reward gate: 1, average score: 10.55, steps: 59
episode: 196, score: -11.04, reward gate: 1, average score: 10.09, steps: 58
episode: 197, score: -11.05, reward gate: 1, average score: -6.82, steps: 56
episode: 198, score: -11.11, reward gate: 1, average score: -7.8, steps: 69
episode: 199, score: -11.02, reward gate: 1, average score: -9.47, steps: 69
episode: 200, score: -11.06, reward gate: 1, average score: -9.86, steps: 64
episode: 201, score: -11.03, reward gate: 1, average score: -9.97, steps: 58
episode: 202, score: -11.19, reward gate: 1, average score: -10.27, steps: 65
episode: 203, score: -11.14, reward gate: 1, average score: -10.53, steps: 75
episode: 204, score: -11.19, reward gate: 1, average score: -10.54, steps: 64
episode: 205, score: -11.06, reward gate: 1, average score: -10.55, steps: 57
episode: 206, score: -11.18, reward gate: 1, average score: -10.57, steps: 74
episode: 207, score: -11.15, reward gate: 1, average score: -10.57, steps: 86
episode: 208, score: -11.06, reward gate: 1, average score: -10.57, steps: 71
episode: 209, score: -10.77, reward gate: 1, average score: -10.57, steps: 66
episode: 210, score: -11.21, reward gate: 1, average score: -10.57, steps: 67
episode: 211, score: -11.15, reward gate: 1, average score: -10.57, steps: 89
episode: 212, score: -11.2, reward gate: 1, average score: -10.57, steps: 63
episode: 213, score: -10.85, reward gate: 1, average score: -10.57, steps: 65
episode: 214, score: -11.27, reward gate: 1, average score: -10.57, steps: 64
episode: 215, score: -11.27, reward gate: 1, average score: -10.57, steps: 64
episode: 216, score: -11.3, reward gate: 1, average score: -10.57, steps: 60
episode: 217, score: -11.06, reward gate: 1, average score: -10.57, steps: 65
episode: 218, score: -11.23, reward gate: 1, average score: -10.58, steps: 66
episode: 219, score: -11.21, reward gate: 1, average score: -10.58, steps: 59
episode: 220, score: -11.22, reward gate: 1, average score: -10.59, steps: 60
episode: 221, score: -11.11, reward gate: 1, average score: -10.6, steps: 66
episode: 222, score: -11.18, reward gate: 1, average score: -10.64, steps: 60
episode: 223, score: -11.21, reward gate: 1, average score: -10.66, steps: 61
episode: 224, score: -11.07, reward gate: 1, average score: -10.69, steps: 69
episode: 225, score: -11.23, reward gate: 1, average score: -10.71, steps: 59
episode: 226, score: -11.06, reward gate: 1, average score: -10.74, steps: 59
episode: 227, score: -11.17, reward gate: 1, average score: -10.75, steps: 60
episode: 228, score: -11.23, reward gate: 1, average score: -10.77, steps: 60
episode: 229, score: -11.16, reward gate: 1, average score: -10.8, steps: 69
episode: 230, score: -11.19, reward gate: 1, average score: -10.84, steps: 61
episode: 231, score: -11.19, reward gate: 1, average score: -10.88, steps: 61
episode: 232, score: -11.19, reward gate: 1, average score: -11.02, steps: 61
episode: 233, score: -11.19, reward gate: 1, average score: -11.03, steps: 61
episode: 234, score: -11.18, reward gate: 1, average score: -11.03, steps: 61
episode: 235, score: -11.15, reward gate: 1, average score: -11.04, steps: 62
episode: 236, score: -11.19, reward gate: 1, average score: -11.04, steps: 61
episode: 237, score: -11.19, reward gate: 1, average score: -11.05, steps: 61
episode: 238, score: -11.19, reward gate: 1, average score: -11.05, steps: 61
episode: 239, score: -11.19, reward gate: 1, average score: -11.05, steps: 61
episode: 240, score: -11.19, reward gate: 1, average score: -11.07, steps: 61
episode: 241, score: -11.23, reward gate: 1, average score: -11.08, steps: 66
episode: 242, score: -11.24, reward gate: 1, average score: -11.08, steps: 66
episode: 243, score: -11.23, reward gate: 1, average score: -11.08, steps: 66
episode: 244, score: -11.23, reward gate: 1, average score: -11.09, steps: 66
episode: 245, score: -11.23, reward gate: 1, average score: -11.1, steps: 66
episode: 246, score: -11.23, reward gate: 1, average score: -11.11, steps: 66
episode: 247, score: -11.23, reward gate: 1, average score: -11.11, steps: 66
episode: 248, score: -11.24, reward gate: 1, average score: -11.12, steps: 66
episode: 249, score: -11.23, reward gate: 1, average score: -11.12, steps: 66
episode: 250, score: -11.3, reward gate: 1, average score: -11.13, steps: 65
episode: 251, score: -11.3, reward gate: 1, average score: -11.13, steps: 78
episode: 252, score: -11.32, reward gate: 1, average score: -11.13, steps: 63
episode: 253, score: -11.4, reward gate: 1, average score: -11.14, steps: 62
episode: 254, score: -11.29, reward gate: 1, average score: -11.14, steps: 61
episode: 255, score: -11.28, reward gate: 1, average score: -11.15, steps: 61
episode: 256, score: -11.32, reward gate: 1, average score: -11.15, steps: 65
episode: 257, score: -11.28, reward gate: 1, average score: -11.15, steps: 63
episode: 258, score: -11.28, reward gate: 1, average score: -11.15, steps: 61
episode: 259, score: -11.21, reward gate: 1, average score: -11.15, steps: 63
episode: 260, score: -11.28, reward gate: 1, average score: -11.16, steps: 61
episode: 261, score: -11.28, reward gate: 1, average score: -11.16, steps: 61
episode: 262, score: -11.28, reward gate: 1, average score: -11.16, steps: 65
episode: 263, score: -11.25, reward gate: 1, average score: -11.17, steps: 206
episode: 264, score: -11.52, reward gate: 1, average score: -11.17, steps: 101
episode: 265, score: -11.05, reward gate: 1, average score: -11.18, steps: 324
episode: 266, score: -7.71, reward gate: 1, average score: -11.14, steps: 5012
episode: 267, score: 16.58, reward gate: 1, average score: -10.87, steps: 5247
episode: 268, score: -8.97, reward gate: 1, average score: -10.85, steps: 2287
episode: 269, score: 85.05, reward gate: 5, average score: -9.89, steps: 5991
episode: 270, score: 966.35, reward gate: 25, average score: -0.21, steps: 1690
episode: 271, score: -10.14, reward gate: 1, average score: -0.2, steps: 60
episode: 272, score: -10.14, reward gate: 1, average score: -0.19, steps: 60
episode: 273, score: -10.17, reward gate: 1, average score: -0.18, steps: 63
episode: 274, score: -10.14, reward gate: 1, average score: -0.17, steps: 60
episode: 275, score: -10.75, reward gate: 1, average score: -0.17, steps: 60
episode: 276, score: -10.24, reward gate: 1, average score: -0.16, steps: 63
episode: 277, score: -10.79, reward gate: 1, average score: -0.16, steps: 61
episode: 278, score: -10.72, reward gate: 1, average score: -0.15, steps: 56
